,FsF-F1-01D,FsF-F1-02D,FsF-F2-01M,FsF-F3-01M,FsF-F4-01M,FsF-A1-01M,FsF-I1-01M,FsF-I2-01M,FsF-I3-01M,FsF-R1-01MD,FsF-R1.1-01M,FsF-R1.2-01M,FsF-R1.3-01M,FsF-R1.3-02D,FsF-A1-03D,FsF-A1-02M,A,A1,F,F1,F2,F3,F4,FAIR,I,I1,I2,I3,R,R1,R1.1,R1.2,R1.3
10.34894/EOZLXH,1,1.0,2.0,0.5,2,0.0,2,0,1,1,2,1,1,0,0,1,1.0,1.0,6.5,2.0,2.0,0.5,2.0,15.5,3.0,2.0,0.0,1.0,5.0,1.0,2.0,1.0,1.0
10.18112/openneuro.ds003522.v1.1.0,1,1.0,1.0,0.0,2,0.0,1,0,0,1,0,1,1,0,0,1,1.0,1.0,5.0,2.0,1.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0
10.6084/m9.figshare.12115773.v1,1,1.0,2.0,1.0,2,0.0,2,0,1,1,2,1,0,0,1,1,2.0,2.0,7.0,2.0,2.0,1.0,2.0,16.0,3.0,2.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0
10.18112/openneuro.ds003509.v1.1.0,1,1.0,1.0,0.0,2,0.0,1,0,0,1,0,1,1,0,0,1,1.0,1.0,5.0,2.0,1.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0
10.6080/k0zc811b,1,1.0,2.0,0.0,2,0.0,1,0,0,1,0,1,0,0,0,1,1.0,1.0,6.0,2.0,2.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
10.5281/zenodo.4316608,1,1.0,2.0,1.0,2,1.0,2,0,1,1,2,1,0,0,1,1,3.0,3.0,7.0,2.0,2.0,1.0,2.0,17.0,3.0,2.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0
10.18112/openneuro.ds004000.v1.0.0,1,1.0,1.0,0.0,2,0.0,1,0,0,1,0,1,1,0,0,1,1.0,1.0,5.0,2.0,1.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0
10.18112/openneuro.ds003474.v1.1.0,1,1.0,1.0,0.0,2,0.0,1,0,0,1,0,1,1,0,0,1,1.0,1.0,5.0,2.0,1.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0
10.1038/sdata.2017.181,1,1.0,2.0,0.0,1,1.0,2,1,1,1,2,1,0,0,0,1,2.0,2.0,5.0,2.0,2.0,0.0,1.0,15.0,4.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,0.0
10.18112/openneuro.ds002778.v1.0.5,1,1.0,1.0,0.0,2,0.0,1,0,0,1,0,1,1,0,0,1,1.0,1.0,5.0,2.0,1.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0
10.17045/sthlmuni.14891607,1,1.0,2.0,1.0,2,0.0,2,0,1,1,2,1,0,1,1,1,2.0,2.0,7.0,2.0,2.0,1.0,2.0,17.0,3.0,2.0,0.0,1.0,5.0,1.0,2.0,1.0,1.0
10.13016/m2599z52h,1,0.5,2.0,0.0,2,0.0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,5.5,1.5,2.0,0.0,2.0,8.5,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
10.18112/openneuro.ds003768.v1.0.9,1,1.0,1.0,0.0,2,0.0,1,0,0,1,0,1,1,0,0,1,1.0,1.0,5.0,2.0,1.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0
10.18112/openneuro.ds003944.v1.0.1,1,1.0,1.0,0.0,2,0.0,1,0,0,1,0,1,1,0,0,1,1.0,1.0,5.0,2.0,1.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0
10.18112/openneuro.ds003506.v1.1.0,1,1.0,1.0,0.0,2,0.0,1,0,0,1,0,1,1,0,0,1,1.0,1.0,5.0,2.0,1.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0
10.5255/UKDA-SN-854301,1,1.0,2.0,0.0,2,0.5,1,1,1,0,0,1,1,0,0,1,1.5,1.5,6.0,2.0,2.0,0.0,2.0,12.5,3.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0
10.1016/j.cmpb.2015.10.013,1,1.0,0.5,0.0,0,0.0,1,1,1,0,0,1,0,0,0,1,1.0,1.0,2.5,2.0,0.5,0.0,0.0,7.5,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
10.18112/openneuro.ds003478.v1.1.0,1,1.0,1.0,0.0,2,0.0,1,0,0,1,0,1,1,0,0,1,1.0,1.0,5.0,2.0,1.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0
10.17910/b7.1281,1,1.0,2.0,0.0,2,0.5,1,0,0,1,1,1,0,0,0,1,1.5,1.5,6.0,2.0,2.0,0.0,2.0,11.5,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0
10.15131/shef.data.16840351.v1,1,1.0,2.0,1.0,2,0.0,2,0,1,1,2,1,0,0,1,1,2.0,2.0,7.0,2.0,2.0,1.0,2.0,16.0,3.0,2.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0
10.18112/openneuro.ds003490.v1.1.0,1,1.0,1.0,0.0,2,0.0,1,0,0,1,0,1,1,0,0,1,1.0,1.0,5.0,2.0,1.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0
10.18150/repod.0107441,1,1.0,2.0,1.0,2,0.5,2,0,1,3,2,1,0,0,1,1,2.5,2.5,7.0,2.0,2.0,1.0,2.0,18.5,3.0,2.0,0.0,1.0,6.0,3.0,2.0,1.0,0.0
10.13026/p2rp-sg37,1,1.0,1.0,1.0,2,0.0,2,1,1,1,1,1,0,0,1,1,2.0,2.0,6.0,2.0,1.0,1.0,2.0,15.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0
10.17632/hrgfwzs3sx.2,1,1.0,2.0,0.0,2,0.0,2,0,1,1,2,1,0,0,0,1,1.0,1.0,6.0,2.0,2.0,0.0,2.0,14.0,3.0,2.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0
10.21227/5ch0-8b29,1,0.5,2.0,0.0,2,0.0,1,0,0,1,2,1,0,0,0,0,0.0,0.0,5.5,1.5,2.0,0.0,2.0,10.5,1.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0
10.1016/j.dib.2018.04.073,1,1.0,0.5,0.0,0,0.0,1,1,1,0,0,1,0,0,0,1,1.0,1.0,2.5,2.0,0.5,0.0,0.0,7.5,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
10.13026/t79q-fr32,1,1.0,1.0,1.0,2,0.0,2,0,1,1,2,1,0,0,1,1,2.0,2.0,6.0,2.0,1.0,1.0,2.0,15.0,3.0,2.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0
10.1184/R1/12636731,1,1.0,2.0,1.0,2,0.0,2,0,1,1,2,1,0,1,1,1,2.0,2.0,7.0,2.0,2.0,1.0,2.0,17.0,3.0,2.0,0.0,1.0,5.0,1.0,2.0,1.0,1.0
10.13026/C2VC79,1,1.0,1.0,1.0,2,0.0,2,0,1,1,1,1,0,0,1,1,2.0,2.0,6.0,2.0,1.0,1.0,2.0,14.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0
10.7910/DVN/FU3QZ9,1,1.0,2.0,1.0,2,0.0,2,0,1,3,2,1,1,1,1,1,2.0,2.0,7.0,2.0,2.0,1.0,2.0,20.0,3.0,2.0,0.0,1.0,8.0,3.0,2.0,1.0,2.0
TOTAL,1,1.0,2.0,1.0,2,1.0,2,1,1,4,2,2,1,1,1,1,3.0,3.0,7.0,2.0,2.0,1.0,2.0,24.0,4.0,2.0,1.0,1.0,10.0,4.0,2.0,2.0,2.0
